calendardate,ticker,eps,netinc,opinc,ncfo,cashnequsd,de,ebitda,fcf,marketcap,netmargin,pb,pe,ps,workingcapital,ev,divyield,fcfps,revenue,invcap,ebit,equityusd,assets,roe,roa,roic,stock_price,sp500_price,stock_p_change,sp500_p_change
9/30/2020,F,0.6,2385000000.0,2351000000.0,11088000000.0,24263000000.0,6.846,4769000000.0,9832000000.0,30633890672.0,0.064,0.925,-187.938,0.23399999999999999,18606000000.0,163646000000.0,0.019,2.4730000000000003,37501000000.0,299796000000.0,3249000000.0,33125000000.0,259943000000.0,0.072,0.009175088384761275,0.007955409678581436,6.817666681607563,331.48317769368487,4.48,2.14
6/30/2020,FANG,-15.16,-2393000000.0,-2672000000.0,324000000.0,59000000.0,0.794,-2685000000.0,-257000000.0,6630189937.0,-5.631,0.619,-2.3819999999999997,1.9480000000000002,-407000000.0,12698189937.0,0.027000000000000003,-1.6280000000000001,425000000.0,25344000000.0,-3028000000.0,10714000000.0,20337000000.0,-0.2233526227366063,-0.11766730589565816,-0.09442077020202021,40.47083994547526,292.61378580729166,4.09,4.35
9/30/2020,FARO,-0.17,-3024000.0,-4858000.0,-5248000.0,163637000.0,0.442,-1180000.0,-6688000.0,1094002151.0,-0.043,3.492,-14.306,3.4739999999999998,191287000.0,947235151.0,0.0,-0.376,70736000.0,142391000.0,-4602000.0,313330000.0,451726000.0,-0.009651166501771296,-0.0066943235501166634,-0.02123729730109347,57.62616653442383,331.48317769368487,4.35,2.14
9/30/2020,FAST,0.39,221500000.0,290100000.0,289000000.0,331800000.0,0.424,331300000.0,259000000.0,25614257934.0,0.157,8.877,30.432,4.602,2043700000.0,25933957934.0,0.022000000000000002,0.451,1413300000.0,3825300000.0,290200000.0,2885600000.0,4108600000.0,0.07676046576102023,0.05391130798812248,0.057903955245340234,45.797566095987946,331.48317769368487,0.06,2.14
6/30/2020,FATE,-0.35,-28072000.0,-28707000.0,38841000.0,448301000.0,0.379,-27324000.0,38205000.0,2851957912.0,-5.1370000000000005,6.015,-24.48,215.878,494903000.0,2484694912.0,0.0,0.48200000000000004,5465000.0,241009000.0,-28072000.0,474111000.0,653594000.0,-0.05920976311454491,-0.0429502106812486,-0.11647697803816455,30.22433341344197,292.61378580729166,6.61,4.35
9/30/2020,FB,2.75,7846000000.0,8040000000.0,9829000000.0,11617000000.0,0.244,9831000000.0,6140000000.0,799886000000.0,0.365,6.794,31.647,10.128,53855000000.0,798885000000.0,0.0,2.154,21470000000.0,113717000000.0,8133000000.0,117731000000.0,146437000000.0,0.06664344989849742,0.0535793549444471,0.06899584055154462,259.21066767374674,331.48317769368487,3.72,2.14
9/30/2020,FBHS,1.19,164600000.0,240200000.0,246300000.0,464500000.0,1.48,287900000.0,222400000.0,11375482939.0,0.1,4.328,23.046,1.9280000000000002,1003000000.0,13136582939.0,0.011000000000000001,1.601,1652100000.0,3948700000.0,238700000.0,2628600000.0,6519000000.0,0.06261888457734155,0.025249271360638134,0.04168460505989313,79.13119621276856,331.48317769368487,6.93,2.14
9/30/2020,FCFS,0.36,15062000.0,35053000.0,34067000.0,78844000.0,0.797,34673000.0,25340000.0,2271353695.0,0.042,1.8259999999999998,17.744,1.307,371410000.0,2998466695.0,0.02,0.611,359890000.0,1745121000.0,24247000.0,1243926000.0,2235495000.0,0.012108437318618631,0.006737657655239667,0.008630920148230409,60.6061929066976,331.48317769368487,-2.0,2.14
9/30/2020,FCN,1.41,50172000.0,73070000.0,111563000.0,304658000.0,0.895,80473000.0,99799000.0,3459542390.0,0.081,2.346,18.785999999999998,1.42,567469000.0,3625314390.0,0.0,2.798,622249000.0,1084493000.0,69730000.0,1474497000.0,2794398000.0,0.03402651887389394,0.017954493239688833,0.04626309252341878,113.54766654968262,331.48317769368487,-0.92,2.14
6/30/2020,FCX,0.03,53000000.0,321000000.0,491000000.0,1465000000.0,2.577,622000000.0,30000000.0,20272971991.0,0.017,2.2640000000000002,-31.875999999999998,1.57,4249000000.0,28721971991.0,0.006999999999999999,0.021,3054000000.0,45773000000.0,264000000.0,8954000000.0,40230000000.0,0.0059191422827786465,0.0013174248073576933,0.001157887837808315,9.306333311398824,292.61378580729166,16.66,4.35
